PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
16.0,20.0,17.0,20.0,13.0,19.0,28.0,1,0,0
13.0,16.0,13.0,19.0,17.0,16.0,17.0,1,0,0
17.0,13.0,20.0,13.0,19.0,28.0,11.0,1,0,0
19.0,17.0,16.0,18.0,16.0,30.0,13.0,1,0,0
16.0,19.0,13.0,17.0,28.0,28.0,14.0,1,0,0
28.0,16.0,17.0,13.0,30.0,17.0,15.0,1,0,0
30.0,28.0,19.0,20.0,28.0,11.0,12.0,1,0,0
28.0,30.0,16.0,16.0,17.0,13.0,15.0,1,0,0
17.0,28.0,28.0,13.0,11.0,14.0,20.0,1,0,0
11.0,17.0,30.0,17.0,13.0,15.0,18.0,1,0,0
13.0,11.0,28.0,19.0,14.0,12.0,23.0,1,0,0
14.0,13.0,17.0,16.0,15.0,15.0,25.0,1,0,0
15.0,14.0,11.0,28.0,12.0,20.0,32.0,1,0,0
12.0,15.0,13.0,30.0,15.0,18.0,28.0,1,0,0
15.0,12.0,14.0,28.0,20.0,23.0,32.0,1,0,0
20.0,15.0,15.0,17.0,18.0,25.0,23.0,1,0,0
18.0,20.0,12.0,11.0,23.0,32.0,17.0,1,0,0
23.0,18.0,15.0,13.0,25.0,28.0,12.0,1,0,0
25.0,23.0,20.0,14.0,32.0,32.0,13.0,1,0,0
32.0,25.0,18.0,15.0,28.0,23.0,16.0,1,0,0
28.0,32.0,23.0,12.0,32.0,17.0,16.0,1,0,0
32.0,28.0,25.0,15.0,23.0,12.0,15.0,1,0,0
23.0,32.0,32.0,20.0,17.0,13.0,15.0,1,0,0
17.0,23.0,28.0,18.0,12.0,16.0,13.0,1,0,0
12.0,17.0,32.0,23.0,13.0,16.0,8.0,1,0,0
13.0,12.0,23.0,25.0,16.0,15.0,9.0,1,0,0
16.0,13.0,17.0,32.0,16.0,15.0,11.0,1,0,0
16.0,16.0,12.0,28.0,15.0,13.0,18.0,1,0,0
15.0,16.0,13.0,32.0,15.0,8.0,13.0,1,0,0
15.0,15.0,16.0,23.0,13.0,9.0,13.0,1,0,0
13.0,15.0,16.0,17.0,8.0,11.0,13.0,1,0,0
8.0,13.0,15.0,12.0,9.0,18.0,13.0,1,0,0
9.0,8.0,15.0,13.0,11.0,13.0,14.0,1,0,0
11.0,9.0,13.0,16.0,18.0,13.0,13.0,1,0,0
18.0,11.0,8.0,16.0,13.0,13.0,9.0,1,0,0
13.0,18.0,9.0,15.0,13.0,13.0,14.0,1,0,0
13.0,13.0,11.0,15.0,13.0,14.0,12.0,1,0,0
13.0,13.0,18.0,13.0,13.0,13.0,24.0,1,0,0
13.0,13.0,13.0,8.0,14.0,9.0,19.0,1,0,0
14.0,13.0,13.0,9.0,13.0,14.0,28.0,1,0,0
13.0,14.0,13.0,11.0,9.0,12.0,16.0,1,0,0
9.0,13.0,13.0,18.0,14.0,24.0,19.0,1,0,0
14.0,9.0,14.0,13.0,12.0,19.0,13.0,1,0,0
12.0,14.0,13.0,13.0,24.0,28.0,9.0,1,0,0
24.0,12.0,9.0,13.0,19.0,16.0,13.0,1,0,0
19.0,24.0,14.0,13.0,28.0,19.0,9.0,1,0,0
28.0,19.0,12.0,14.0,16.0,13.0,9.0,1,0,0
16.0,28.0,24.0,13.0,19.0,9.0,8.0,1,0,0
19.0,16.0,19.0,9.0,13.0,13.0,8.0,1,0,0
13.0,19.0,28.0,14.0,9.0,9.0,9.0,1,0,0
9.0,13.0,16.0,12.0,13.0,9.0,12.0,1,0,0
13.0,9.0,19.0,24.0,9.0,8.0,12.0,1,0,0
9.0,13.0,13.0,19.0,9.0,8.0,7.0,1,0,0
9.0,9.0,9.0,28.0,8.0,9.0,8.0,1,0,0
8.0,9.0,13.0,16.0,8.0,12.0,9.0,0,1,0
8.0,8.0,9.0,19.0,9.0,12.0,10.0,0,1,0
9.0,8.0,9.0,13.0,12.0,7.0,11.0,0,1,0
12.0,9.0,8.0,9.0,12.0,8.0,10.0,0,1,0
12.0,12.0,8.0,13.0,7.0,9.0,9.0,0,1,0
7.0,12.0,9.0,9.0,8.0,10.0,9.0,0,1,0
8.0,7.0,12.0,9.0,9.0,11.0,12.0,0,1,0
9.0,8.0,12.0,8.0,10.0,10.0,8.0,0,1,0
10.0,9.0,7.0,8.0,11.0,9.0,11.0,0,1,0
11.0,10.0,8.0,9.0,10.0,9.0,11.0,0,1,0
10.0,11.0,9.0,12.0,9.0,12.0,13.0,0,1,0
9.0,10.0,10.0,12.0,9.0,8.0,10.0,0,1,0
9.0,9.0,11.0,7.0,12.0,11.0,11.0,0,1,0
12.0,9.0,10.0,8.0,8.0,11.0,11.0,0,1,0
8.0,12.0,9.0,9.0,11.0,13.0,12.0,0,1,0
11.0,8.0,9.0,10.0,11.0,10.0,13.0,0,1,0
11.0,11.0,12.0,11.0,13.0,11.0,15.0,0,1,0
13.0,11.0,8.0,10.0,10.0,11.0,11.0,0,1,0
10.0,13.0,11.0,9.0,11.0,12.0,11.0,0,1,0
11.0,10.0,11.0,9.0,11.0,13.0,10.0,0,1,0
11.0,11.0,13.0,12.0,12.0,15.0,9.0,0,1,0
12.0,11.0,10.0,8.0,13.0,11.0,9.0,0,1,0
13.0,12.0,11.0,11.0,15.0,11.0,13.0,0,1,0
15.0,13.0,11.0,11.0,11.0,10.0,12.0,0,1,0
11.0,15.0,12.0,13.0,11.0,9.0,9.0,0,1,0
11.0,11.0,13.0,10.0,10.0,9.0,12.0,0,1,0
10.0,11.0,15.0,11.0,9.0,13.0,13.0,0,1,0
9.0,10.0,11.0,11.0,9.0,12.0,13.0,0,1,0
9.0,9.0,11.0,12.0,13.0,9.0,12.0,0,1,0
13.0,9.0,10.0,13.0,12.0,12.0,13.0,0,1,0
12.0,13.0,9.0,15.0,9.0,13.0,14.0,0,1,0
9.0,12.0,9.0,11.0,12.0,13.0,10.0,0,1,0
12.0,9.0,13.0,11.0,13.0,12.0,12.0,0,1,0
13.0,12.0,12.0,10.0,13.0,13.0,9.0,0,1,0
13.0,13.0,9.0,9.0,12.0,14.0,13.0,0,1,0
