Date,59T
10/18/2023,30.3
10/19/2023,19.0
10/20/2023,27.0
10/21/2023,18.9
10/22/2023,11.9
10/23/2023,14.6
10/24/2023,22.8
10/25/2023,14.3
10/26/2023,11.0
10/27/2023,8.0
10/28/2023,15.6
10/29/2023,17.7
10/30/2023,11.6
10/31/2023,6.6
11/1/2023,14.6
11/2/2023,21.2
11/3/2023,26.0
11/4/2023,29.6
11/5/2023,14.6
11/6/2023,12.8
11/7/2023,9.5
11/8/2023,11.1
11/9/2023,12.9
11/10/2023,12.7
11/11/2023,12.5
11/12/2023,8.7
11/13/2023,12.0
11/14/2023,8.1
11/15/2023,8.2
11/16/2023,6.2
11/17/2023,9.0
11/18/2023,17.9
11/19/2023,22.5
11/20/2023,21.9
11/21/2023,18.7
11/22/2023,22.7
11/23/2023,29.0
11/24/2023,17.1
11/25/2023,14.6
11/26/2023,21.2
11/27/2023,12.8
11/28/2023,26.9
11/29/2023,34.3
11/30/2023,25.2
12/1/2023,17.4
12/2/2023,10.6
12/3/2023,11.1
12/4/2023,14.6
12/5/2023,21.0
12/6/2023,15.5
12/7/2023,8.1
12/8/2023,16.0
12/9/2023,26.4
12/10/2023,37.0
12/11/2023,25.2
12/12/2023,31.2
12/13/2023,24.2
12/14/2023,19.5
12/15/2023,28.6
12/16/2023,25.7
12/17/2023,20.9
12/18/2023,15.4
12/19/2023,19.7
12/20/2023,19.8
12/21/2023,11.3
12/22/2023,13.3
12/23/2023,19.6
12/24/2023,20.7
12/25/2023,27.5
12/26/2023,31.5
12/27/2023,27.7
12/28/2023,26.0
12/29/2023,25.7
12/30/2023,30.1
12/31/2023,25.1
